x,y
-0.089842176,0.7744135366464496
-0.089840608,0.7747193394461651
-0.08983904,0.7750220175607732
-0.089837472,0.7753215709902738
-0.089835904,0.7756179997346669
-0.089834336,0.7759113037939526
-0.089832768,0.7762014831681309
-0.0898312,0.7764885378572016
-0.089829632,0.776772467861165
-0.089828064,0.7770532731800209
-0.089826496,0.7773309538137695
-0.089824928,0.7776055097624105
-0.08982336,0.7778769410259441
-0.089821792,0.7781452476043702
-0.089820224,0.7784104294976889
-0.089818656,0.7786724867059002
-0.089817088,0.778931419229004
-0.08981552,0.7791872270670004
-0.089813952,0.7794399102198892
-0.089812384,0.7796894686876708
-0.089810816,0.7799359024703447
-0.089809248,0.7801792115679114
-0.08980768,0.7804193959803705
-0.089806112,0.7806564557077221
-0.089804544,0.7808903907499665
-0.089802976,0.7811212011071033
-0.089801408,0.7813488867791326
-0.08979984,0.7815734477660545
-0.089798272,0.781794884067869
-0.089796704,0.782013195684576
-0.089795136,0.7822283826161756
-0.089793568,0.7824404448626677
-0.089792,0.7826493824240524
-0.089790432,0.7828551953003297
-0.089788864,0.7830578834914994
-0.089787296,0.7832574469975617
-0.089785728,0.7834538858185167
-0.08978416,0.7836471999543642
-0.089782592,0.7838373894051042
-0.089781024,0.7840244541707367
-0.089779456,0.7842083942512619
-0.089777888,0.7843892096466796
-0.08977632,0.7845669003569897
-0.089774752,0.7847414663821926
-0.089773184,0.784912907722288
-0.089771616,0.7850812243772758
-0.089770048,0.7852464163471563
-0.08976848,0.7854084836319293
-0.089766912,0.7855674262315948
-0.089765344,0.785723244146153
-0.089763776,0.7858759373756037
-0.089762208,0.7860255059199469
-0.08976064,0.7861719497791827
-0.089759072,0.786315268953311
-0.089757504,0.7864554634423319
-0.089755936,0.7865925332462453
-0.089754368,0.7867264783650514
-0.0897528,0.7868572987987499
-0.089751232,0.786984994547341
-0.089749664,0.7871095656108247
-0.089748096,0.787231011989201
-0.089746528,0.7873493336824697
-0.08974496,0.787464530690631
-0.089743392,0.7875766030136849
-0.089741824,0.7876855506516314
-0.089740256,0.7877913736044704
-0.089738688,0.787894071872202
-0.08973712,0.7879936454548261
-0.089735552,0.7880900943523427
-0.089733984,0.7881834185647519
-0.089732416,0.7882736180920538
-0.089730848,0.788360692934248
-0.08972928,0.7884446430913349
-0.089727712,0.7885254685633144
-0.089726144,0.7886031693501864
-0.089724576,0.7882894398108236
-0.089723008,0.7884053733779474
-0.08972144,0.7882276433993776
-0.089719872,0.7882849161690995
-0.089718304,0.7881153794977195
-0.089716736,0.788255883229241
-0.089715168,0.788349966331849
-0.0897136,0.7883425386848
-0.089712032,0.7887086481301416
-0.089710464,0.7884891617061567
-0.089708896,0.7884182374325123
-0.089707328,0.788679505752067
-0.08970576,0.7890206522221703
-0.089704192,0.7889983579206061
-0.089702624,0.7889349601479996
-0.089701056,0.7889965542575268
-0.089699488,0.7888480162706026
-0.08969792,0.7889363431782138
-0.089696352,0.7891087340733958
-0.089694784,0.7893369278391354
-0.089693216,0.789167149607881
