x,y
2807.8,1.0005245721959102
2807.9,0.9913532170852334
2808.0,0.9849956222685586
2808.1,0.9801057162780006
2808.2,0.98067603954548
2808.3,0.9733068017210168
2808.4,0.9554276468467686
2808.5,0.9402103192336384
2808.6,0.9388111105251792
2808.7,0.9484389123735273
2808.8,0.9540208669296271
2808.9,0.9569258055473453
2809.0,0.949800218778679
2809.1,0.923662417229446
2809.2,0.9155327124017256
2809.3,0.9150991951697467
2809.4,0.8843681217265704
2809.5,0.8401232117838441
2809.6,0.819270591914335
2809.7,0.7766834836935366
2809.8,0.711920659901018
2809.9,0.6438193339988694
2810.0,0.5782882715346975
2810.1,0.4689303501229134
2810.2,0.33300129496967495
2810.3,0.21194724394126724
2810.4,0.10829318742333754
2810.5,0.05895288487720201
2810.6,0.07803347183555664
2810.7,0.172455140974055
2810.8,0.2836303529293568
2810.9,0.39835720191567037
2811.0,0.5055172523328255
2811.1,0.5797178113378159
2811.2,0.6300468119660311
2811.3,0.6747024792547525
2811.4,0.7150232980431738
2811.5,0.7405450406732785
2811.6,0.7438304826422049
2811.7,0.7222100096004898
2811.8,0.8502929108626951
2811.9,0.8236050952264695
2812.0,0.7742327136784315
2812.1,0.6855074442728015
2812.2,0.577936603166727
2812.3,0.45836401974269103
2812.4,0.2980894528786554
2812.5,0.13153844499867207
2812.6,0.01737309036797455
2812.7,0.009737264380271504
2812.8,0.0925926119293505
2812.9,0.2470282546194686
2813.0,0.4104111635396621
2813.1,0.5390014087574297
2813.2,0.6416334320123314
2813.3,0.7271676037664332
2813.4,0.7926362013604649
2813.5,0.833735488286692
2813.6,0.7075706689833803
2813.7,0.7160956495002169
2813.8,0.7135936657201997
2813.9,0.710072745283289
2814.0,0.6777748325622042
2814.1,0.6310428962170971
2814.2,0.5951859602960514
2814.3,0.5522869830414558
2814.4,0.4483592373526271
2814.5,0.31398920354893567
2814.6,0.21314130527635167
2814.7,0.10717520825448287
2814.8,0.03780370801100889
2814.9,0.06289965881758419
2815.0,0.17671387646808684
2815.1,0.28570660656575564
2815.2,0.4159244877560835
2815.3,0.5369633192672506
2815.4,0.6222745576240241
2815.5,0.6776226990696361
2827.5,0.9756700342501664
2827.6,0.9774052963733894
2827.7,0.9792163027296225
2827.8,0.9944304576894943
2827.9,0.9840316161018934
2828.0,0.9890275832952968
2828.1,0.9930270624197827
2828.2,0.9504640061109131
2828.3,0.9047016970227111
2828.4,0.8994343971546909
2828.5,0.9051244263521898
2828.6,0.8720852203721265
2828.7,0.8443739708539508
2828.8,0.8182025480360018
2828.9,0.7980080643889994
2829.1,0.6953443615916394
2829.2,0.576228399313214
2829.3,0.4596787740635569
2829.4,0.38839350460307465
2829.5,0.2725833572935691
2829.6,0.16187433159542658
2829.7,0.13188417528532695
2829.8,0.14973949339504386
2829.9,0.23222380018461553
2830.0,0.37000959886009704
2830.1,0.5174099879253045
2830.2,0.5980986820350347
2830.3,0.6331147665907089
2830.4,0.6988152836866418
2830.5,0.7548263230642853
2830.6,0.7766965445786671
2830.7,0.7301487601433808
2830.8,0.7192209942815204
2830.9,0.8653419072486548
2831.0,0.8580567501418908
2831.1,0.8130943563198034
2831.2,0.7530924548346668
2831.3,0.6723843633371427
2831.4,0.5549157573417038
2831.5,0.40894289306496123
2831.6,0.26342740057592184
2831.7,0.12402234338377849
2831.8,0.037815050004131254
2831.9,0.0648151253814527
2832.0,0.1818509434182689
2832.1,0.31325571746593384
2832.2,0.4575952196309051
2832.3,0.5887744185902508
2832.4,0.6868967526011623
2832.5,0.7581487466728667
2832.6,0.8031326120357103
2832.7,0.6733683735846543
2832.8,0.6998568204468597
2832.9,0.7297410572456468
2833.0,0.7297562672996978
2833.1,0.6945739126762283
2833.2,0.6420950640620099
2833.3,0.5992755484915452
2833.4,0.5413176221942018
2833.5,0.4850951722462159
2833.6,0.3874123183993971
2833.7,0.2952533460971734
2833.8,0.2161953105597857
2833.9,0.11642913836267012
2834.0,0.0402083440765069
2834.1,0.06862855961553974
2834.2,0.19136653460649222
2834.3,0.3239154841257853
2834.4,0.46266725895087624
2834.5,0.571534521543593
2834.6,0.6710136001448426
2834.7,0.7353560154922149
2834.8,0.7978566065267326
2834.9,0.8100521625284216
2835.0,0.8544867287687569
2835.1,0.8746814878493056
2835.2,0.880537634095959
2841.0,0.9937158071736661
2842.0,0.999729844407731
2843.0,0.9870713359320795
2844.0,0.955365314847121
2845.0,0.9212146798780952
2846.0,0.8867188959368919
2847.0,0.5267789240928543
2848.0,0.3083012973079353
2849.0,0.13364829944680198
2849.3,0.9336842766489988
2849.4,0.8971736742013608
2849.5,0.8341478381254416
2849.6,0.7344442090534561
2849.7,0.6391352255483378
2849.8,0.5152122706580062
2849.9,0.36037886999193547
2850.0,0.26793143747903114
2850.1,0.05903203397512653
2850.2,0.013048252960994516
2850.3,0.10510099915260536
2850.4,0.29222308988433265
2850.5,0.5037463049090478
2850.6,0.6684989308869943
2850.7,0.7943775988806159
2850.8,0.8838701889915871
2850.9,0.9543193888812305
2851.0,0.64292131894662
2852.0,0.4040045126794951
2853.0,0.48599923622920926
2854.0,0.7630745187411523
2855.0,0.8557180741572303
2856.0,0.8789499953661422
2857.0,0.9116608395502849
2858.0,0.9235993081815149
